blockNumber,horizon,min_flag,reference_blockNumber,horizon_label,closest_blockNumber,volume_500,volume_3000,cum_volume_500,cum_volume_3000,cum_volume_base,s0,w0,blsame_1,slsame_1,wlsame_1,slsame_2,wlsame_2,slsame_3,wlsame_3,vol_0_3,avg-USD-isame_01,avg-USD-isame_12,avg-USD-isame_23,blother_1,slother_1,wlother_1,slother_2,wlother_2,slother_3,wlother_3,avg-USD-iother_01,avg-USD-iother_12,avg-USD-iother_23,binance-midprice-01,binance-midprice-12,binance-midprice-23,pool,rate-count-isame_03,rate-count-iother_03,binance-btc-03
14500233,10.0,0,14500043,20,,0.0,0.0,699259.8493815772,6053.457924944756,705313.307306522,55957.8738468275,1560.0,586.0,470881.3891525555,420.0,937615.1844426632,13860.0,2898.8180947022533,6240.0,0.0001643834305831,28224.791830808048,243879.26369906747,937615.1844426632,446.0,31595.01236594024,1570.0,368563.7068412924,2150.0,1398360.3471767278,100.0,121061.87801875969,61619.05768973841,147449.12521202932,0.0726131781310438,0.0726342935879709,0.0725928803097609,3000,5.0,93.0,23.760683074551764
14500725,10.0,0,14500535,20,14500725.0,14097.987019505852,0.0,4034180.565676834,6067751.082471588,10101931.64814842,54595.59057116319,2280.0,975.0,55957.8738468275,1560.0,470881.3891525555,420.0,937615.1844426632,13860.0,0.0107552622957533,181865.1734531724,28224.791830808048,243879.26369906747,180.0,500246.1674614266,430.0,161751.02804884297,4160.0,31595.01236594024,1570.0,246128.44147877503,246526.1819291696,147465.5157847799,0.07299479339565,0.0726131781310438,0.0726342935879709,3000,18.0,49.0,36.87783727095464
14501629,10.0,0,14501439,20,14501629.0,0.0,155158.23789568423,2192862.872601787,1038787.0111050002,3231649.883706787,441614.9143147513,630.0,120.0,26743.963522018967,7500.0,2791358.6973209963,1560.0,54595.59057116319,2280.0,0.0025215842740754,441614.9143147513,196072.9762281713,219706.1793554029,947.0,1491981.6820389791,270.0,500246.1674614266,430.0,161751.02804884297,4160.0,244311.4424951847,178315.38471131117,246526.1819291696,0.0739488864842802,0.0738397082590901,0.0739490116248098,3000,77.0,155.0,105.47510076785633
14502421,10.0,0,14502231,20,,0.0,0.0,758401.2568741197,391591.9028361404,1149993.15971026,9861.078031987232,540.0,51.0,198961.4621601193,540.0,51263.210253268735,3600.0,1587.3710666829188,3600.0,0.0,9861.078031987232,198961.4621601193,326715.9129803588,1411.0,2436656.0703523303,1020.0,1491981.6820389791,270.0,500246.1674614266,430.0,130019.51602138508,231447.32210954645,178315.38471131117,0.0747854670367293,0.0746901547906788,0.0746296399660272,3000,4.0,214.0,7.6905561715332045
14503371,10.0,0,14503181,20,14503371.0,310410.8463461289,0.0,2684067.328066567,849156.082506123,3533223.41057269,245315.6401251152,1500.0,950.0,9599.328395220977,3600.0,9861.078031987232,540.0,198961.4621601193,540.0,0.0263665436196158,243298.8784318468,120138.534516354,9861.078031987232,1293.0,1331681.229302962,290.0,2436656.0703523303,1020.0,1491981.6820389791,270.0,120004.220111126,162569.13336965183,231447.32210954645,0.0745716540079534,0.0746330446118748,0.0747854670367293,3000,11.0,199.0,84.96062129611417
14504155,10.0,0,14503965,20,,0.0,0.0,2907873.040730783,1021434.5465461536,3929307.587276937,342756.89353848906,720.0,278.0,80236.27101942858,300.0,286030.1791928216,1380.0,245315.6401251152,1500.0,0.0049984740763505,164450.6960604008,148168.18412297263,197785.0757075944,260.0,136929.57903318465,820.0,310315.5919077617,1200.0,1331681.229302962,290.0,197053.89566233044,194289.1170376629,139940.54653190912,0.0745545509458816,0.0748741187810357,0.075100010403262,3000,49.0,129.0,43.73180459386852
14504413,10.0,0,14504223,20,,0.0,0.0,481958.5003525436,0.0,481958.5003525436,374015.11154984194,540.0,392.0,342756.89353848906,720.0,80236.27101942858,300.0,286030.1791928216,1380.0,0.0078912801799655,465149.8860319985,164450.6960604008,148168.18412297263,518.0,136929.57903318465,820.0,310315.5919077617,1200.0,1331681.229302962,290.0,202321.32389294577,194289.1170376629,139940.54653190912,0.0745351614368676,0.0745545509458816,0.0748741187810357,3000,26.0,145.0,58.26781532977763
14504854,10.0,0,14504664,20,14504854.0,93290.68619213012,0.0,1882951.261533895,377802.4161844727,2260753.677718368,34685.72365307245,2280.0,699.0,374015.11154984194,540.0,342756.89353848906,720.0,80236.27101942858,300.0,0.0290097058106306,34685.72365307245,465149.8860319985,164450.6960604008,959.0,136929.57903318465,820.0,310315.5919077617,1200.0,1331681.229302962,290.0,165207.0815568217,194289.1170376629,139940.54653190912,0.0747245705642532,0.0745351614368676,0.0745545509458816,3000,8.0,161.0,52.24015368715022
14505181,10.0,0,14504991,20,,0.0,0.0,1013218.5240293272,0.0,1013218.5240293272,52713.52861096602,840.0,768.0,34685.72365307245,2280.0,374015.11154984194,540.0,342756.89353848906,720.0,0.014218246460694,86103.18895908774,34685.72365307245,465149.8860319985,38.0,432206.2076546781,1460.0,385565.9025712469,660.0,136929.57903318465,820.0,129117.82182803216,339839.6929410514,155690.6386890949,0.0746951330959363,0.0747245705642532,0.0745351614368676,3000,9.0,73.0,32.360642511906185
14505908,10.0,0,14505718,20,,0.0,0.0,3968120.876298664,251706.9438722086,4219827.820170872,28869.12145203929,3600.0,184.0,1994.2327484285336,13860.0,67016.6657960916,2100.0,52713.52861096602,840.0,0.0008897939600939,28869.12145203929,1994.2327484285336,94867.48652753702,312.0,781098.0917933063,3930.0,893510.0298085423,1770.0,332623.7457601421,1580.0,79607.59711040542,391964.96193988447,444009.3210861473,0.0746714357529329,0.074792025354254,0.0748155912094841,3000,9.0,26.0,15.490512689598326
14506315,10.0,0,14506125,20,,0.0,0.0,832830.0862912777,1000.2266405437985,833830.3129318214,109080.53930727432,1020.0,148.0,852157.1096341321,1020.0,11779.297844656729,3600.0,28869.12145203929,3600.0,0.0,109080.53930727432,852157.1096341321,131743.12085843267,719.0,781098.0917933063,3930.0,893510.0298085423,1770.0,332623.7457601421,1580.0,110485.40350668252,391964.96193988447,444009.3210861473,0.0747484188142929,0.0747697350203493,0.0746946180353662,3000,4.0,73.0,15.581886410811876
14506735,10.0,0,14506545,20,14506735.0,358367.24271662405,0.0,1570106.367321268,0.0,1570106.367321268,1593.8539991014757,3600.0,44.0,13702.442835786747,3600.0,82364.34930311593,3600.0,3725.3192706326254,3600.0,0.0270174327264154,1593.8539991014757,13702.442835786747,1123809.901762657,1139.0,781098.0917933063,3930.0,893510.0298085423,1770.0,332623.7457601421,1580.0,126194.80257955204,391964.96193988447,444009.3210861473,0.0749647756036539,0.0749126121479613,0.07486397247498,3000,5.0,105.0,36.05595863459479
14506958,10.0,0,14506768,20,14506958.0,234109.31778642203,0.0,1729229.7321121923,133335.69170017666,1862565.423812369,5557.427530126129,3600.0,229.0,1593.8539991014757,3600.0,13702.442835786747,3600.0,82364.34930311593,3600.0,0.0028107912328277,218820.3763292908,1593.8539991014757,13702.442835786747,1362.0,781098.0917933063,3930.0,893510.0298085423,1770.0,332623.7457601421,1580.0,130602.85369361874,391964.96193988447,444009.3210861473,0.0751382745039668,0.0749647756036539,0.0749126121479613,3000,6.0,122.0,61.40540943890317
14507615,10.0,0,14507425,20,14507615.0,176309.08938749737,0.0,3039492.168121326,1550309.7664725774,4589801.934593903,437236.0983380628,1020.0,657.0,116712.183884016,1260.0,5557.427530126129,3600.0,1593.8539991014757,3600.0,0.0274714109475485,643593.2251841452,133481.30129740675,218820.3763292908,2005.0,514822.39880593895,700.0,781098.0917933063,3930.0,893510.0298085423,1770.0,81086.68175937998,134376.0604730917,391964.96193988447,0.074925058812709,0.0749509575025713,0.0751382745039668,3000,9.0,162.0,102.81437974631247
14509339,10.0,0,14509149,20,14509339.0,304.7308739864011,0.0,1912083.675252488,277409.1057381589,2189492.780990647,37183.826669504095,1560.0,1853.0,437236.0983380628,1020.0,116712.183884016,1260.0,5557.427530126129,3600.0,0.0056710708011297,193930.23500061344,643593.2251841452,133481.30129740675,2096.0,1385954.1650072096,210.0,514822.39880593895,700.0,781098.0917933063,3930.0,138520.14176123362,125444.61543011872,134376.0604730917,0.0752394639164418,0.074925058812709,0.0749509575025713,3000,48.0,280.0,151.89610985720157
14510722,10.0,0,14510538,20,14510722.0,14553.459508160857,0.0,1744862.6297014782,0.0,1744862.6297014782,78746.62947658253,3600.0,1389.0,427.976263887762,2460.0,37183.826669504095,1560.0,437236.0983380628,1020.0,0.0050757020826777,78746.62947658253,194113.5250830524,193930.23500061344,3485.0,1385954.1650072096,210.0,514822.39880593895,700.0,781098.0917933063,3930.0,130928.46549846456,125444.61543011872,134376.0604730917,0.0750007850213762,0.0750037384779859,0.0752394639164418,3000,53.0,348.0,84.17392570991794
